prompt,response
Quel est le taux de recapture du parc P7 ?,Le taux de recapture moyen du parc P7 est de 69.2% pour les opérations d'Transfert.
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quelles sont les anomalies financières ?,5 anomalies détectées via Z-Score. Poste principal : Résultat net avec variance de -15.1%.
Montre les données de type Transfert,"Pour le type « Transfert », il y a 36 lignes. Taux de recapture moyen : 87.5%. Biomasse totale : 458 kg."
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 6.6% vs budget. Le principal driver est « Frais généraux ». Recommandation : surveiller les postes à forte déviation.
Statut des bons de commande ?,BC en cours : 88. BC livrées : 171. Statut principal : Envoyé.
Combien de DA sont en cours ?,Il y a 38 DA en cours dont 12 sans commande associée. Valeur totale : 70 128 DH.
Configure le module Finance,"Module Finance sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quel est le taux de recapture du parc P2 ?,Le taux de recapture moyen du parc P2 est de 72.4% pour les opérations d'Échantillonnage.
Compare Primaire et Hors calibre,"Primaire : 37 lignes, taux recapture 68.0%. Hors calibre : 11 lignes, taux recapture 83.7%."
Statut des bons de commande ?,BC en cours : 80. BC livrées : 131. Statut principal : Envoyé.
Accès pour tous et admin,Accès configuré pour tous et admin. Délais ou priorités spécifiques ?
Résumé YTD Finance,"YTD : Budget total 126 519 DH, Réalisé 384 372 DH. Variance globale : 9.4%. Principaux drivers : Matières premières, Amortissements."
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 12.3% vs budget. Le principal driver est « Investissements ». Recommandation : surveiller les postes à forte déviation.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Compare Primaire et Hors calibre,"Primaire : 25 lignes, taux recapture 81.1%. Hors calibre : 11 lignes, taux recapture 63.2%."
Y a-t-il des anomalies sur le parc P5 ?,"Oui, 2 anomalies détectées (Mineure) via Z-Score. Biomasse écart : 1129 kg. Vérifiez les lignes en zone Ouest."
Quelles sont les anomalies financières ?,5 anomalies détectées via Z-Score. Poste principal : Chiffre d'affaires avec variance de -24.6%.
Accès pour directeur et tous,Accès configuré pour directeur et tous. Délais ou priorités spécifiques ?
Comment fonctionne LOF ?,LOF est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Valider la configuration,Configuration validée pour le module Achats. Les paramètres sont enregistrés.
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de -11.2% vs budget. Le principal driver est « Main d'oeuvre directe ». Recommandation : surveiller les postes à forte déviation.
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 381 456 DH, Réalisé 429 464 DH. Variance : 8.7%. Tendance vs N-1 : -21.1%."
Budget vs Réalisé pour Amortissements,Budget : 484 547 DH. Réalisé : 232 032 DH. Écart : 9.4%. Défavorable.
Quelles sont les anomalies financières ?,5 anomalies détectées via Isolation Forest. Poste principal : Main d'oeuvre directe avec variance de 28.5%.
Capex vs Opex ?,"Opex : 449 lignes, 171 693 DH. Capex : 124 lignes, 1 396 DH."
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Sud 1. Phase : Échantillonnage. Biomasse récoltée : 976 kg. Taux de recapture : 67.4%.
Aide,"Je peux vous aider avec : Estran (production), Finance (budget/variances), Achats (DA/BC)."
Combien de DA sont en cours ?,Il y a 78 DA en cours dont 17 sans commande associée. Valeur totale : 277 365 DH.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Statut des bons de commande ?,BC en cours : 39. BC livrées : 52. Statut principal : Envoyé.
Montre les données de type Transfert,"Pour le type « Transfert », il y a 21 lignes. Taux de recapture moyen : 75.1%. Biomasse totale : 1480 kg."
KPI de RIDA AYYI ?,RIDA AYYI a créé 7 DA. BC associées : 7. Taux de transformation DA→BC : 77%.
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 28.0% pour les opérations d'Échantillonnage.
Aide,"Je peux vous aider avec : Estran (production), Finance (budget/variances), Achats (DA/BC)."
Quel est le taux de recapture du parc P2-4 ?,Le taux de recapture moyen du parc P2-4 est de 21.8% pour les opérations d'Transfert.
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Ouest. Phase : Échantillonnage. Biomasse récoltée : 842 kg. Taux de recapture : 66.4%.
Achats pour la catégorie CO2 INTRANT ?,"Catégorie CO2 INTRANT : 30 lignes, valeur 240 151 DH. Fournisseur principal : AGATRAVE."
Fournisseur AGRIROUES MAROC ?,"AGRIROUES MAROC : 16 commandes, valeur totale 53 795 DH. Catégories : PRESTATION, CARBURANTS."
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Sud 1. Phase : grossissement. Biomasse récoltée : 588 kg. Taux de recapture : 40.8%.
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 5.8% vs budget. Le principal driver est « EBITDA ». Recommandation : surveiller les postes à forte déviation.
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 196 662 DH, Réalisé 117 822 DH. Variance : -28.3%. Tendance vs N-1 : 25.8%."
Fichiers : ventes.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : remise, aucun"
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Sud 1. Phase : Échantillonnage. Biomasse récoltée : 400 kg. Taux de recapture : 23.5%.
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : fournisseur, marge"
Quel est le statut du poste Main d'oeuvre directe ?,"Poste MOD (Main d'oeuvre directe) : Budget 351 433 DH, Réalisé 368 585 DH. Variance : 19.7%. Tendance vs N-1 : 14.3%."
Fournisseur AGA IKHWAN ?,"AGA IKHWAN : 16 commandes, valeur totale 372 419 DH. Catégories : CO2 INTRANT, CO2 INTRANT."
Statut des bons de commande ?,BC en cours : 96. BC livrées : 62. Statut principal : Envoyé.
Achats pour la catégorie ENGRAIS SOLIDE ?,"Catégorie ENGRAIS SOLIDE : 8 lignes, valeur 499 748 DH. Fournisseur principal : AGA IKHWAN."
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : conditions paiement, salaires"
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 27.4% vs budget. Le principal driver est « EBITDA ». Recommandation : surveiller les postes à forte déviation.
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Est. Phase : Échantillonnage. Biomasse récoltée : 1530 kg. Taux de recapture : 69.1%.
Quelles sont les données du parc P4 ?,Le parc P4 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 816 kg. Taux de recapture : 48.4%.
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Sud 1. Phase : Prégro. Biomasse récoltée : 290 kg. Taux de recapture : 20.2%.
Hello,Bonjour ! Assistant AZURA AQUA à votre service. Quel module vous intéresse ?
Budget vs Réalisé pour EBITDA,Budget : 369 671 DH. Réalisé : 108 773 DH. Écart : 11.4%. Défavorable.
Compare Primaire et Hors calibre,"Primaire : 17 lignes, taux recapture 80.2%. Hors calibre : 22 lignes, taux recapture 87.7%."
Aide,"Je peux vous aider avec : Estran (production), Finance (budget/variances), Achats (DA/BC)."
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 23 lignes. Taux de recapture moyen : 66.4%. Biomasse totale : 1020 kg."
Montre les données de type Transfert,"Pour le type « Transfert », il y a 32 lignes. Taux de recapture moyen : 28.0%. Biomasse totale : 660 kg."
Combien de DA sont en cours ?,Il y a 51 DA en cours dont 21 sans commande associée. Valeur totale : 231 751 DH.
Compare Primaire et Hors calibre,"Primaire : 24 lignes, taux recapture 22.3%. Hors calibre : 21 lignes, taux recapture 71.3%."
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Sud. Phase : Échantillonnage. Biomasse récoltée : 800 kg. Taux de recapture : 78.1%.
Budget vs Réalisé pour Cash flow,Budget : 341 169 DH. Réalisé : 104 672 DH. Écart : 15.4%. Défavorable.
Compare Primaire et Hors calibre,"Primaire : 12 lignes, taux recapture 83.7%. Hors calibre : 20 lignes, taux recapture 72.3%."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
KPI de SOUFIANE ELKAFRAOUI ?,SOUFIANE ELKAFRAOUI a créé 37 DA. BC associées : 29. Taux de transformation DA→BC : 66%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Quel est le statut du poste Matières premières ?,"Poste MP (Matières premières) : Budget 463 225 DH, Réalisé 27 682 DH. Variance : -20.7%. Tendance vs N-1 : 15.3%."
Quel est le taux de recapture du parc P5 ?,Le taux de recapture moyen du parc P5 est de 42.1% pour les opérations d'Échantillonnage.
Achats pour la catégorie INFORMATIQUE ?,"Catégorie INFORMATIQUE : 71 lignes, valeur 89 010 DH. Fournisseur principal : AGUACONCEPT."
Combien de DA sont en cours ?,Il y a 59 DA en cours dont 12 sans commande associée. Valeur totale : 234 318 DH.
Combien de DA sont en cours ?,Il y a 57 DA en cours dont 18 sans commande associée. Valeur totale : 368 119 DH.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Statut des bons de commande ?,BC en cours : 91. BC livrées : 105. Statut principal : En cours d'approbation.
Combien de DA sont en cours ?,Il y a 19 DA en cours dont 6 sans commande associée. Valeur totale : 222 239 DH.
Résumé YTD Finance,"YTD : Budget total 299 292 DH, Réalisé 218 501 DH. Variance globale : -18.8%. Principaux drivers : Matières premières, Investissements."
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Sud 1. Phase : grossissement. Biomasse récoltée : 1341 kg. Taux de recapture : 37.4%.
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Quel est le statut du poste Chiffre d'affaires ?,"Poste CA (Chiffre d'affaires) : Budget 4 130 DH, Réalisé 107 276 DH. Variance : -11.9%. Tendance vs N-1 : -17.3%."
Quelles sont les données du parc P7-ext ?,Le parc P7-ext est situé en zone Sud. Phase : Prégro. Biomasse récoltée : 1797 kg. Taux de recapture : 59.2%.
Bye,Bonne journée !
Résumé YTD Finance,"YTD : Budget total 66 280 DH, Réalisé 35 349 DH. Variance globale : -15.8%. Principaux drivers : Amortissements, Amortissements."
Quel est le statut du poste Chiffre d'affaires ?,"Poste CA (Chiffre d'affaires) : Budget 170 372 DH, Réalisé 90 211 DH. Variance : 18.1%. Tendance vs N-1 : 7.1%."
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 162 750 DH, Réalisé 344 061 DH. Variance : 11.9%. Tendance vs N-1 : -6.5%."
Statut des bons de commande ?,BC en cours : 89. BC livrées : 175. Statut principal : Envoyé.
Statut des bons de commande ?,BC en cours : 25. BC livrées : 152. Statut principal : En cours d'approbation.
Hello,Bonjour ! Assistant AZURA AQUA à votre service. Quel module vous intéresse ?
Compare Primaire et Hors calibre,"Primaire : 22 lignes, taux recapture 63.4%. Hors calibre : 17 lignes, taux recapture 54.8%."
Y a-t-il des anomalies sur le parc P2 ?,"Oui, 3 anomalies détectées (Majeure) via LOF. Biomasse écart : 450 kg. Vérifiez les lignes en zone Sud 1."
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 2.8% vs budget. Le principal driver est « EBITDA ». Recommandation : surveiller les postes à forte déviation.
Salut,"Salut ! Que souhaitez-vous consulter ? Estran, Finance, ou Achats ?"
Quel est le taux de recapture du parc P7-ext ?,Le taux de recapture moyen du parc P7-ext est de 22.8% pour les opérations d'Échantillonnage.
Évolution mensuelle des achats ?,"Dernier mois : 20 DA créées, 42 BC créées. Valeur : 106 173 DH. Tendance : baisse."
Quelles sont les données du parc P2-4 ?,Le parc P2-4 est situé en zone Sud 1. Phase : Prégro. Biomasse récoltée : 649 kg. Taux de recapture : 89.8%.
Évolution mensuelle des achats ?,"Dernier mois : 47 DA créées, 56 BC créées. Valeur : 47 914 DH. Tendance : baisse."
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 516 kg. Taux de recapture : 84.8%.
Quel est le taux de recapture du parc P2-4 ?,Le taux de recapture moyen du parc P2-4 est de 67.4% pour les opérations d'Transfert.
Fournisseur AIR LIQUIDE MAROC ?,"AIR LIQUIDE MAROC : 20 commandes, valeur totale 84 057 DH. Catégories : ÉQUIPEMENT LABORATOIRE, ENGRAIS SOLIDE."
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 44 lignes. Taux de recapture moyen : 68.5%. Biomasse totale : 1530 kg."
Statut des bons de commande ?,BC en cours : 91. BC livrées : 155. Statut principal : En cours d'approbation.
Combien de DA sont en cours ?,Il y a 69 DA en cours dont 14 sans commande associée. Valeur totale : 83 837 DH.
Quel est le statut du poste Cash flow ?,"Poste CF (Cash flow) : Budget 483 054 DH, Réalisé 40 922 DH. Variance : 21.7%. Tendance vs N-1 : 4.5%."
Quel est le taux de recapture du parc P3 ?,Le taux de recapture moyen du parc P3 est de 68.8% pour les opérations d'Transfert.
Statut des bons de commande ?,BC en cours : 26. BC livrées : 51. Statut principal : En cours d'approbation.
Statut des bons de commande ?,BC en cours : 53. BC livrées : 142. Statut principal : En révision.
Quel est le taux de recapture du parc P4 ?,Le taux de recapture moyen du parc P4 est de 69.4% pour les opérations d'Échantillonnage.
Y a-t-il des anomalies sur le parc P2-3 ?,"Oui, 4 anomalies détectées (Majeure) via Z-Score. Biomasse écart : 403 kg. Vérifiez les lignes en zone Sud."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Budget vs Réalisé pour Amortissements,Budget : 149 739 DH. Réalisé : 338 736 DH. Écart : -26.5%. Favorable.
Capex vs Opex ?,"Opex : 224 lignes, 24 187 DH. Capex : 62 lignes, 328 398 DH."
Combien de DA sont en cours ?,Il y a 58 DA en cours dont 19 sans commande associée. Valeur totale : 456 031 DH.
Accès pour directeur et admin,Accès configuré pour directeur et admin. Délais ou priorités spécifiques ?
Quelles sont les données du parc P4 ?,Le parc P4 est situé en zone Est. Phase : Prégro. Biomasse récoltée : 409 kg. Taux de recapture : 26.5%.
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de -28.1% vs budget. Le principal driver est « Matières premières ». Recommandation : surveiller les postes à forte déviation.
Accès pour tous et manager,Accès configuré pour tous et manager. Délais ou priorités spécifiques ?
Résumé YTD Finance,"YTD : Budget total 202 992 DH, Réalisé 479 059 DH. Variance globale : 3.7%. Principaux drivers : EBITDA, EBITDA."
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Au revoir,Au revoir ! Bonne utilisation d'AZURA AQUA.
Quel est le taux de recapture du parc P3 ?,Le taux de recapture moyen du parc P3 est de 81.1% pour les opérations d'Transfert.
Montre les données de type Récolte commerciale,"Pour le type « Récolte commerciale », il y a 5 lignes. Taux de recapture moyen : 39.8%. Biomasse totale : 811 kg."
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Quelles sont les anomalies financières ?,8 anomalies détectées via LOF. Poste principal : Amortissements avec variance de 6.4%.
Combien de DA sont en cours ?,Il y a 68 DA en cours dont 25 sans commande associée. Valeur totale : 134 980 DH.
Combien de DA sont en cours ?,Il y a 44 DA en cours dont 15 sans commande associée. Valeur totale : 158 406 DH.
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 16 lignes. Taux de recapture moyen : 52.9%. Biomasse totale : 1534 kg."
Fichiers : ventes.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : fournisseur, salaires"
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Ouest. Phase : grossissement. Biomasse récoltée : 743 kg. Taux de recapture : 47.7%.
Combien de DA sont en cours ?,Il y a 71 DA en cours dont 9 sans commande associée. Valeur totale : 238 639 DH.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Quelles sont les données du parc P4 ?,Le parc P4 est situé en zone Nord. Phase : grossissement. Biomasse récoltée : 1909 kg. Taux de recapture : 45.8%.
Compare Primaire et Hors calibre,"Primaire : 17 lignes, taux recapture 53.0%. Hors calibre : 29 lignes, taux recapture 81.9%."
Quelles sont les données du parc P5 ?,Le parc P5 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 1044 kg. Taux de recapture : 21.7%.
Capex vs Opex ?,"Opex : 247 lignes, 383 318 DH. Capex : 108 lignes, 332 939 DH."
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Achats pour la catégorie ELECTRICITÉ ?,"Catégorie ELECTRICITÉ : 60 lignes, valeur 144 783 DH. Fournisseur principal : AGUACONCEPT."
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Sud. Phase : Échantillonnage. Biomasse récoltée : 1064 kg. Taux de recapture : 22.2%.
Quelles sont les anomalies financières ?,3 anomalies détectées via One-Class SVM. Poste principal : Amortissements avec variance de -18.6%.
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Capex vs Opex ?,"Opex : 216 lignes, 235 889 DH. Capex : 83 lignes, 182 854 DH."
Configure le module Achats,"Module Achats sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Y a-t-il des anomalies sur le parc P3 ?,"Oui, 4 anomalies détectées (Majeure) via One-Class SVM. Biomasse écart : 1562 kg. Vérifiez les lignes en zone Ouest."
Évolution mensuelle des achats ?,"Dernier mois : 75 DA créées, 42 BC créées. Valeur : 363 972 DH. Tendance : hausse."
Montre les données de type Transfert,"Pour le type « Transfert », il y a 31 lignes. Taux de recapture moyen : 23.1%. Biomasse totale : 1725 kg."
Quelles sont les données du parc P2-2 ?,Le parc P2-2 est situé en zone Nord. Phase : Prégro. Biomasse récoltée : 447 kg. Taux de recapture : 37.4%.
Résumé YTD Finance,"YTD : Budget total 53 890 DH, Réalisé 42 079 DH. Variance globale : -10.3%. Principaux drivers : EBITDA, EBITDA."
Quels modules sont disponibles ?,"Trois modules : Estran (biomasse, parcs), Finance (budget, variances), Achats (DA, BC, fournisseurs)."
Accès pour directeur et manager,Accès configuré pour directeur et manager. Délais ou priorités spécifiques ?
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Ouest. Phase : Échantillonnage. Biomasse récoltée : 412 kg. Taux de recapture : 85.7%.
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 49 lignes. Taux de recapture moyen : 53.9%. Biomasse totale : 259 kg."
Bonjour,Bonjour ! Je suis l'assistant AZURA AQUA. Comment puis-je vous aider ?
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 15 lignes. Taux de recapture moyen : 20.2%. Biomasse totale : 1122 kg."
Fournisseur AIR LIQUIDE MAROC ?,"AIR LIQUIDE MAROC : 23 commandes, valeur totale 344 718 DH. Catégories : MATÉRIEL D'USURE, MATÉRIEL D'USURE."
Statut des bons de commande ?,BC en cours : 46. BC livrées : 135. Statut principal : Confirmation reçue.
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Sud 1. Phase : Prégro. Biomasse récoltée : 1932 kg. Taux de recapture : 23.6%.
Combien de DA sont en cours ?,Il y a 17 DA en cours dont 22 sans commande associée. Valeur totale : 473 473 DH.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Quelles sont les anomalies financières ?,6 anomalies détectées via Z-Score. Poste principal : Amortissements avec variance de -27.3%.
Achats pour la catégorie ELECTRICITÉ ?,"Catégorie ELECTRICITÉ : 43 lignes, valeur 126 988 DH. Fournisseur principal : ENTERPRISE BOUKRATE."
Quel est le taux de recapture du parc P7-ext ?,Le taux de recapture moyen du parc P7-ext est de 80.8% pour les opérations d'Transfert.
Résumé YTD Finance,"YTD : Budget total 70 045 DH, Réalisé 23 344 DH. Variance globale : -8.9%. Principaux drivers : Amortissements, Main d'oeuvre directe."
Quelles sont les données du parc P2-3 ?,Le parc P2-3 est situé en zone Est. Phase : grossissement. Biomasse récoltée : 1240 kg. Taux de recapture : 25.6%.
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 35 lignes. Taux de recapture moyen : 74.7%. Biomasse totale : 742 kg."
KPI de SAID BOUKHLIK ?,SAID BOUKHLIK a créé 43 DA. BC associées : 23. Taux de transformation DA→BC : 84%.
Résumé YTD Finance,"YTD : Budget total 362 943 DH, Réalisé 260 945 DH. Variance globale : -8.0%. Principaux drivers : Investissements, EBITDA."
Quelles sont les données du parc P3 ?,Le parc P3 est situé en zone Sud. Phase : Échantillonnage. Biomasse récoltée : 1195 kg. Taux de recapture : 77.1%.
Y a-t-il des anomalies sur le parc P2-2 ?,"Oui, 4 anomalies détectées (Mineure) via Isolation Forest. Biomasse écart : 365 kg. Vérifiez les lignes en zone Ouest."
Compare Primaire et Hors calibre,"Primaire : 12 lignes, taux recapture 64.5%. Hors calibre : 24 lignes, taux recapture 83.7%."
Résumé YTD Finance,"YTD : Budget total 208 850 DH, Réalisé 375 979 DH. Variance globale : 13.1%. Principaux drivers : Investissements, Résultat net."
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : CA_client, marge"
Quelles sont les données du parc P2-2 ?,Le parc P2-2 est situé en zone Nord. Phase : Prégro. Biomasse récoltée : 1333 kg. Taux de recapture : 80.3%.
Montre les données de type Transfert,"Pour le type « Transfert », il y a 34 lignes. Taux de recapture moyen : 58.6%. Biomasse totale : 985 kg."
Accès pour manager et chef de production,Accès configuré pour manager et chef de production. Délais ou priorités spécifiques ?
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 34 lignes. Taux de recapture moyen : 86.3%. Biomasse totale : 1526 kg."
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Génère un commentaire IA sur les finances,Le résultat YTD montre une variance de 29.9% vs budget. Le principal driver est « Cash flow ». Recommandation : surveiller les postes à forte déviation.
Achats pour la catégorie ÉQUIPEMENT LABORATOIRE ?,"Catégorie ÉQUIPEMENT LABORATOIRE : 37 lignes, valeur 495 144 DH. Fournisseur principal : AGRIROUES MAROC."
Quel est le taux de recapture du parc P3 ?,Le taux de recapture moyen du parc P3 est de 78.3% pour les opérations d'Transfert.
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 50.5% pour les opérations d'Transfert.
Montre les données de type Échantillonnage,"Pour le type « Échantillonnage », il y a 15 lignes. Taux de recapture moyen : 75.5%. Biomasse totale : 1418 kg."
Fichiers : ventes.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : aucun, CA_client"
Que fais-tu ?,"Je suis l'assistant IA d'AZURA AQUA. J'analyse les données Estran, Finance et Achats."
Quelles sont les données du parc P8 ?,Le parc P8 est situé en zone Sud 1. Phase : Prégro. Biomasse récoltée : 699 kg. Taux de recapture : 30.3%.
Combien de DA sont en cours ?,Il y a 56 DA en cours dont 27 sans commande associée. Valeur totale : 123 990 DH.
Résumé YTD Finance,"YTD : Budget total 105 051 DH, Réalisé 64 397 DH. Variance globale : -21.9%. Principaux drivers : Matières premières, Cash flow."
Achats pour la catégorie ÉQUIPEMENT LABORATOIRE ?,"Catégorie ÉQUIPEMENT LABORATOIRE : 53 lignes, valeur 421 667 DH. Fournisseur principal : ACRAPLAST."
Quelles sont les anomalies financières ?,3 anomalies détectées via LOF. Poste principal : Main d'oeuvre directe avec variance de 9.5%.
Comment fonctionne Isolation Forest ?,Isolation Forest est un algorithme de détection d'anomalies. Il identifie les valeurs atypiques dans les données pour signaler des écarts importants.
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : coût unitaire, salaires"
Achats pour la catégorie ÉQUIPEMENT LABORATOIRE ?,"Catégorie ÉQUIPEMENT LABORATOIRE : 42 lignes, valeur 385 385 DH. Fournisseur principal : AGA IKHWAN."
Merci,De rien ! N'hésitez pas si vous avez d'autres questions sur AZURA AQUA.
Combien de DA sont en cours ?,Il y a 49 DA en cours dont 28 sans commande associée. Valeur totale : 11 513 DH.
Résumé YTD Finance,"YTD : Budget total 350 240 DH, Réalisé 182 250 DH. Variance globale : 12.6%. Principaux drivers : Investissements, Investissements."
Évolution mensuelle des achats ?,"Dernier mois : 43 DA créées, 34 BC créées. Valeur : 71 995 DH. Tendance : stable."
Fichiers : Exemple BDD estran.xlsx,"Fichier enregistré. Champs sensibles à masquer ? Exemple : CA_client, remise"
Quelles sont les données du parc P2-4 ?,Le parc P2-4 est situé en zone Nord. Phase : Échantillonnage. Biomasse récoltée : 847 kg. Taux de recapture : 85.4%.
KPI de MOHAMED TAOUFIQ ?,MOHAMED TAOUFIQ a créé 13 DA. BC associées : 8. Taux de transformation DA→BC : 92%.
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
KPI de MAMOUN OUDGHIRI ?,MAMOUN OUDGHIRI a créé 29 DA. BC associées : 27. Taux de transformation DA→BC : 95%.
Combien de DA sont en cours ?,Il y a 22 DA en cours dont 10 sans commande associée. Valeur totale : 73 821 DH.
Compare Primaire et Hors calibre,"Primaire : 15 lignes, taux recapture 34.1%. Hors calibre : 27 lignes, taux recapture 81.4%."
Quel est le statut du poste Amortissements ?,"Poste AMORT (Amortissements) : Budget 82 627 DH, Réalisé 194 114 DH. Variance : -11.3%. Tendance vs N-1 : -10.5%."
KPI de SAID BOUKHLIK ?,SAID BOUKHLIK a créé 10 DA. BC associées : 25. Taux de transformation DA→BC : 95%.
Capex vs Opex ?,"Opex : 493 lignes, 140 264 DH. Capex : 115 lignes, 472 040 DH."
Montre les données de type Retour commercial,"Pour le type « Retour commercial », il y a 25 lignes. Taux de recapture moyen : 63.9%. Biomasse totale : 1755 kg."
Quel est le taux de recapture du parc P2-2 ?,Le taux de recapture moyen du parc P2-2 est de 58.7% pour les opérations d'Transfert.
Configure le module Estran,"Module Estran sélectionné. Quels fichiers Excel souhaitez-vous utiliser ? Focus : anomalies, KPI, ou les deux ?"
Statut des bons de commande ?,BC en cours : 67. BC livrées : 130. Statut principal : En cours d'approbation.
Résumé YTD Finance,"YTD : Budget total 8 716 DH, Réalisé 331 426 DH. Variance globale : 0.9%. Principaux drivers : Frais généraux, Main d'oeuvre directe."
Comment importer des données ?,Glissez votre fichier .xlsx dans la barre d'import en haut de chaque page. Formats supportés : .xlsx et .xls (max 20 Mo).
Compare Primaire et Hors calibre,"Primaire : 40 lignes, taux recapture 49.7%. Hors calibre : 18 lignes, taux recapture 52.0%."
Quel est le statut du poste Résultat net ?,"Poste RN (Résultat net) : Budget 274 807 DH, Réalisé 41 333 DH. Variance : -6.3%. Tendance vs N-1 : -11.4%."
